AccessID	country	region	lineage	symptom	cluster
G012	PA	PA	4B	symptomatic	PA2
G019	PA	PA	4B	symptomatic	PA1
G029	PA	PA	4B	symptomatic	PA1
G035	PA	PA	4B	symptomatic	PA1
G037	PA	PA	4B	symptomatic	PA1
G039	PA	PA	4B	symptomatic	PA1
G041	PA	PA	4B	symptomatic	PA1
G045	PA	PA	4B	symptomatic	PA2
G049	PA	PA	4B	symptomatic	PA2
G052	PA	PA	4B	symptomatic	PA2
G060	PA	PA	4B	symptomatic	PA1
G062	PA	PA	4B	symptomatic	PA1
GVd_103	Israel	South	4B	asymptomatic	Israel
GVd_104	Israel	South	4B	asymptomatic	Israel
GVd_106	Israel	South	4B	symptomatic	Israel
GVd_109	Israel	South	4B	symptomatic	Israel
GVd_110	Israel	South	4B	symptomatic	Israel
GVd_111	Israel	South	4B	symptomatic	Israel
GVd_112	Israel	South	4B	symptomatic	Israel
GVd_25	Israel	South	4B	symptomatic	Israel
GVd_32	Israel	South	4B	asymptomatic	Israel
GVd_33	Israel	South	4B	asymptomatic	Israel
GVd_34	Israel	South	4B	symptomatic	Israel
GVd_36	Israel	South	4B	asymptomatic	Israel
GVd_37	Israel	South	4B	asymptomatic	Israel
GVd_38	Israel	South	4B	asymptomatic	Israel
GVd_39	Israel	South	4B	asymptomatic	Israel
GVd_40	Israel	South	4B	asymptomatic	Israel
GVd_41	Israel	South	4B	asymptomatic	Israel
GVd_42	Israel	South	4B	asymptomatic	Israel
GVd_43	Israel	South	4B	symptomatic	Israel
GVd_44	Israel	South	4B	symptomatic	Israel
GVd_45	Israel	South	4B	symptomatic	Israel
GVd_46	Israel	South	4B	asymptomatic	Israel
GVd_47	Israel	South	4B	asymptomatic	Israel
GVd_48	Israel	South	4B	asymptomatic	Israel
GVd_49	Israel	South	4B	asymptomatic	Israel
GVd_51	Israel	South	4B	asymptomatic	Israel
GVd_52	Israel	South	4B	symptomatic	Israel
GVd_53	Israel	South	4B	asymptomatic	Israel
GVd_55	Israel	South	4B	asymptomatic	Israel
GVd_58	Israel	North	4B	symptomatic	Israel
GVd_59	Israel	South	4B	symptomatic	Israel
GVd_60	Israel	South	4B	asymptomatic	Israel
GVd_61	Israel	South	4B	asymptomatic	Israel
GVd_62	Israel	South	4B	asymptomatic	Israel
GVd_63	Israel	South	4B	symptomatic	Israel
GVd_64	Israel	South	4B	asymptomatic	Israel
GVd_65	Israel	South	4B	asymptomatic	Israel
GVd_66	Israel	South	4B	symptomatic	Israel
GVd_67	Israel	South	4B	asymptomatic	Israel
GVd_68	Israel	South	4B	asymptomatic	Israel
GVd_69	Israel	South	4B	asymptomatic	Israel
GVd_70	Israel	South	4B	symptomatic	Israel
GVd_71	Israel	South	4B	symptomatic	Israel
GVd_72	Israel	South	4B	asymptomatic	Israel
GVd_73	Israel	South	4B	symptomatic	Israel
GVd_74	Israel	South	4B	symptomatic	Israel
GVd_75	Israel	South	4B	asymptomatic	Israel
GVd_76	Israel	South	4B	asymptomatic	Israel
GVd_77	Israel	South	4B	asymptomatic	Israel
GVd_79	Israel	South	4B	asymptomatic	Israel
GVd_80	Israel	South	4B	asymptomatic	Israel
GVd_82	Israel	South	4B	asymptomatic	Israel
GVd_83	Israel	South	4B	asymptomatic	Israel
GVd_84	Israel	South	4B	asymptomatic	Israel
GVd_87	Israel	South	4B	asymptomatic	Israel
GVd_88	Israel	South	4B	asymptomatic	Israel
GVd_89	Israel	South	4B	asymptomatic	Israel
GVd_94	Israel	South	4B	asymptomatic	Israel
GVd_95	Israel	South	4B	asymptomatic	Israel
T001	PA	PA	4B	symptomatic	PA1
T002	PA	PA	4B	symptomatic	PA2
T005	PA	PA	4B	symptomatic	PA2
T006	PA	PA	4B	symptomatic	PA3
T008	PA	PA	4B	symptomatic	PA1
T011	PA	PA	4B	symptomatic	PA2
T014	PA	PA	4B	symptomatic	PA1
T016	PA	PA	4B	symptomatic	PA1
T017	PA	PA	4B	symptomatic	PA1
T026	PA	PA	4B	symptomatic	PA1
T032	PA	PA	4B	symptomatic	PA2
T035	PA	PA	4B	symptomatic	PA2
T038	PA	PA	4B	symptomatic	PA2
T040	PA	PA	4B	symptomatic	PA2
T044	PA	PA	4B	symptomatic	PA1
T045	PA	PA	4B	symptomatic	PA1
T047	PA	PA	4B	symptomatic	PA1
T048	PA	PA	4B	symptomatic	PA1
U073	PA	PA	4B	asymptomatic	PA1
U086	PA	PA	4B	asymptomatic	PA1
U088	PA	PA	4B	asymptomatic	PA1
U089	PA	PA	4B	asymptomatic	PA2
U120	PA	PA	4B	asymptomatic	PA3
U199	PA	PA	4B	asymptomatic	PA3
W002	PA	PA	4B	asymptomatic	PA1
W084	PA	PA	4B	asymptomatic	PA1
W117	PA	PA	4B	asymptomatic	PA2
